ID,bridgeId,bridgeName,assetClass,route,routeNumber,state,region,lga,latitude,longitude,location,assetOwner,managingAuthority,structureType,yearBuilt,designLoad,designStandard,clearanceHeight,spanLength,material,spanCount,totalLength,deckWidth,numberOfLanes,condition,conditionRating,structuralAdequacyRating,postingStatus,conditionStandard,seismicZone,asBuiltDrawingReference,scourDepthLastMeasured,floodImmunityAriYears,floodImpacted,highPriorityAsset,remarks,status,scourRisk,lastInspectionDate,nhvrAssessed,nhvrAssessmentDate,loadRating,pbsApprovalClass,importanceLevel,averageDailyTraffic,heavyVehiclePercent,gazetteReference,nhvrReferenceUrl,freightRoute,overMassRoute,hmlApproved,bDoubleApproved,dataSource,sourceReferenceUrl,openDataReference,sourceRecordId,geoJson
39,BRG-QLD-005,Sir Leo Hielscher Bridges,Road Bridge,,,QLD,South East Queensland,Brisbane City,-27.445278,153.101222,,Department of Transport and Main Roads,Department of Transport and Main Roads,Box Girder,2010,,,,260,Prestressed Concrete,6,1630,,8,1,1,,Unrestricted,,Zone 2,,,100,false,true,Twin box girder bridges over Brisbane River at Gateway Motorway. Key port freight route to Port of Brisbane.,Active,Low,,true,,,Level 4,,120000,22,,,true,true,true,true,Wikipedia â List of bridges in Australia,https://en.wikipedia.org/wiki/Sir_Leo_Hielscher_Bridges,https://en.wikipedia.org/wiki/List_of_bridges_in_Australia,BRG-QLD-005,"{type:LineString,coordinates:[[153.095,-27.445],[153.107,-27.445]]}"
40,BRG-QLD-006,Houghton Highway Bridge,Road Bridge,,,QLD,South East Queensland,Moreton Bay,-27.274806,153.070583,,Department of Transport and Main Roads,Department of Transport and Main Roads,Beam Bridge,1979,,,,,Prestressed Concrete,40,2740,,4,2,2,,Unrestricted,,Zone 2,,,100,false,false,Long prestressed concrete beam bridge over Bramble Bay connecting Redcliffe Peninsula. Key freight access route.,Active,Low,,true,,,Level 3,,55000,14,,,true,false,true,true,Wikipedia â List of bridges in Australia,https://en.wikipedia.org/wiki/Houghton_Highway,https://en.wikipedia.org/wiki/List_of_bridges_in_Australia,BRG-QLD-006,"{type:Point,coordinates:[153.070583,-27.274806]}"
41,BRG-QLD-007,Ted Smout Memorial Bridge,Road Bridge,,,QLD,South East Queensland,Moreton Bay,-27.275028,153.070999,,Department of Transport and Main Roads,Department of Transport and Main Roads,Beam Bridge,2010,,,,,Prestressed Concrete,40,2740,,4,1,1,,Unrestricted,,Zone 2,,,100,false,false,Second Houghton Highway crossing over Bramble Bay. New 2010 parallel structure to Houghton Highway bridge.,Active,Low,,true,,,Level 3,,55000,14,,,true,false,true,true,Wikipedia â List of bridges in Australia,https://en.wikipedia.org/wiki/Ted_Smout_Memorial_Bridge,https://en.wikipedia.org/wiki/List_of_bridges_in_Australia,BRG-QLD-007,"{type:Point,coordinates:[153.070999,-27.275028]}"
42,BRG-QLD-008,Dickabram Bridge,Road Bridge,,,QLD,Wide Bay Burnett,Gympie,-25.954028,152.495417,,Department of Transport and Main Roads,Department of Transport and Main Roads,Truss,1886,,,,191,Steel and Timber,2,191,,1,3,3,,Restricted,,Zone 2,,,10,true,true,Heritage rail-era road bridge over Mary River. Single lane. Weight restricted. Flood-prone. Scour risk monitored.,Active,High,,false,,,Not Assessed,,800,6,,,false,false,false,false,Wikipedia â List of bridges in Australia,https://en.wikipedia.org/wiki/Dickabram_Bridge,https://en.wikipedia.org/wiki/List_of_bridges_in_Australia,BRG-QLD-008,"{type:Point,coordinates:[152.495417,-25.954028]}"
43,BRG-QLD-009,Victoria Bridge Brisbane,Road Bridge,,,QLD,South East Queensland,Brisbane City,-27.472333,153.021194,,Brisbane City Council,Brisbane City Council,Box Girder,1969,,,,146,Prestressed Concrete,2,313,,4,2,2,,Unrestricted,,Zone 2,,,100,false,false,Prestressed concrete bridge over Brisbane River in CBD. Restricted to buses and pedestrians in peak times.,Active,Low,,true,,,General Access,,65000,4.5,,,false,false,false,false,Wikipedia â List of bridges in Australia,https://en.wikipedia.org/wiki/Victoria_Bridge,https://en.wikipedia.org/wiki/List_of_bridges_in_Australia,BRG-QLD-009,"{type:Point,coordinates:[153.021194,-27.472333]}"
44,BRG-QLD-010,Albert Bridge Indooroopilly,Road Bridge,,,QLD,South East Queensland,Brisbane City,-27.505944,152.973194,,Queensland Rail,Queensland Rail,Truss,1895,,,,104,Steel,2,208,,2,2,2,,Restricted,,Zone 2,,,50,false,false,Historic steel truss rail bridge over Brisbane River at Indooroopilly. Heritage listed. Restricted to light rail traffic.,Active,Low,,false,,,Not Assessed,,50,0,,,false,false,false,false,Wikipedia â List of bridges in Australia,https://en.wikipedia.org/wiki/Albert_Bridge_(Brisbane),https://en.wikipedia.org/wiki/List_of_bridges_in_Australia,BRG-QLD-010,"{type:Point,coordinates:[152.973194,-27.505944]}"
45,BRG-TAS-001,Richmond Bridge,Road Bridge,,,TAS,Hobart Region,Clarence,-42.733861,147.44,,Department of State Growth,Department of State Growth,Masonry Arch,1825,,,,41,Sandstone,6,41,,2,2,2,,Restricted,,Zone 2,,,100,false,true,Oldest bridge in Australia still carrying traffic (1825). Six sandstone arches over Coal River. Weight restricted for heritage preservation.,Active,Low,,false,,,Not Assessed,,3500,3,,,false,false,false,false,Wikipedia â List of bridges in Australia,https://en.wikipedia.org/wiki/Richmond_Bridge_(Tasmania),https://en.wikipedia.org/wiki/List_of_bridges_in_Australia,BRG-TAS-001,"{type:Point,coordinates:[147.440000,-42.733861]}"
46,BRG-TAS-002,Ross Bridge,Road Bridge,,,TAS,Midlands,Northern Midlands,-41.03075,147.48975,,Department of State Growth,Department of State Growth,Masonry Arch,1836,,,,,Masonry,3,,,2,2,2,,Restricted,,Zone 2,,,100,false,false,Historic convict-built sandstone arch bridge over Macquarie River. Renowned carved decorations. Heritage listed. Weight restricted.,Active,Low,,false,,,Not Assessed,,2000,4,,,false,false,false,false,Wikipedia â List of bridges in Australia,https://en.wikipedia.org/wiki/Ross_Bridge,https://en.wikipedia.org/wiki/List_of_bridges_in_Australia,BRG-TAS-002,"{type:Point,coordinates:[147.489750,-41.030750]}"
47,BRG-TAS-003,Red Bridge,Road Bridge,,,TAS,Midlands,Northern Midlands,-41.932972,147.49275,,Department of State Growth,Department of State Growth,Masonry Arch,1838,,,,,Brick,5,,,2,2,2,,Restricted,,Zone 2,,,50,false,false,Historic convict-built brick arch bridge over Elizabeth River at Campbell Town. Heritage listed. Weight restricted.,Active,Low,,false,,,Not Assessed,,2500,3.5,,,false,false,false,false,Wikipedia â List of bridges in Australia,https://en.wikipedia.org/wiki/Red_Bridge_(Tasmania),https://en.wikipedia.org/wiki/List_of_bridges_in_Australia,BRG-TAS-003,"{type:Point,coordinates:[147.492750,-41.932972]}"
48,BRG-TAS-004,Tasman Bridge,Road Bridge,,,TAS,Hobart Region,Hobart City,-42.865,147.3425,,Department of State Growth,Department of State Growth,Box Girder,1964,,,18,100,Prestressed Concrete,14,1396,,4,3,3,,Under Review,,Zone 2,,,20,true,true,Prestressed concrete box girder bridge over River Derwent. Monitoring scour and resilience upgrades. Partially sunk in 1975 lake disaster; rebuilt 1977.,Active,High,,false,,,Not Assessed,,67000,11.8,,,false,false,false,false,Wikipedia â List of bridges in Australia,https://en.wikipedia.org/wiki/Tasman_Bridge,https://en.wikipedia.org/wiki/List_of_bridges_in_Australia,BRG-TAS-004,"{type:LineString,coordinates:[[147.333,-42.865],[147.365,-42.865]]}"
49,BRG-TAS-005,Bowen Bridge,Road Bridge,,,TAS,Hobart Region,Hobart City,-42.817528,147.307361,,Department of State Growth,Department of State Growth,Box Girder,1984,,,,109,Prestressed Concrete,8,976,,4,2,2,,Unrestricted,,Zone 2,,,100,false,false,Prestressed concrete box girder bridge over River Derwent providing a northern bypass of Hobart CBD.,Active,Low,,true,,,Level 2,,45000,10.5,,,true,false,true,false,Wikipedia â List of bridges in Australia,https://en.wikipedia.org/wiki/Bowen_Bridge,https://en.wikipedia.org/wiki/List_of_bridges_in_Australia,BRG-TAS-005,"{type:Point,coordinates:[147.307361,-42.817528]}"
50,BRG-SA-001,South Road Superway,Road Bridge,,,SA,Greater Adelaide,Port Adelaide Enfield,-34.849778,138.564611,,Department for Infrastructure and Transport SA,Department for Infrastructure and Transport SA,Box Girder,2014,,,,,Prestressed Concrete,24,2800,,4,1,1,,Unrestricted,,Zone 1,,,100,false,false,Elevated motorway structure on South Road. Key freight route for Port Adelaide. Part of North-South Motorway corridor.,Active,Low,,true,,,Level 4,,95000,18,,,true,true,true,true,Wikipedia â List of bridges in Australia,https://en.wikipedia.org/wiki/South_Road_Superway,https://en.wikipedia.org/wiki/List_of_bridges_in_Australia,BRG-SA-001,"{type:LineString,coordinates:[[138.558,-34.849],[138.571,-34.849]]}"
51,BRG-SA-002,Algebuckina Bridge,Road Bridge,,,SA,Outback,Unincorporated Far North,-28.25,135.6,,Department for Infrastructure and Transport SA,Department for Infrastructure and Transport SA,Beam Bridge,1892,,,,,Steel and Concrete,16,578,,1,3,3,,Restricted,,Zone 1,,,10,true,true,Longest bridge in South Australia (578m) over Neale River on old Ghan railway. Heritage listed. Weight restricted. Remote location.,Active,Medium,,false,,,Not Assessed,,200,5,,,false,false,false,false,Wikipedia â Top Australian Bridges,https://en.wikipedia.org/wiki/Algebuckina_Bridge,https://en.wikipedia.org/wiki/List_of_bridges_in_Australia,BRG-SA-002,"{type:Point,coordinates:[135.600000,-28.250000]}"
52,BRG-WA-001,Matagarup Bridge,Road Bridge,,,WA,Perth Metro,City of Perth,-31.9545,115.885361,,Main Roads WA,Main Roads WA,Arch Bridge,2018,,,,160,Steel,1,370,,,1,1,,Unrestricted,,Zone 1,,,100,false,false,Cable net pedestrian and cycling bridge over Swan River to Optus Stadium. Modern steel arch structure opened 2018.,Active,Low,,false,,,Not Assessed,,8000,1,,,false,false,false,false,Wikipedia â List of bridges in Australia,https://en.wikipedia.org/wiki/Matagarup_Bridge,https://en.wikipedia.org/wiki/List_of_bridges_in_Australia,BRG-WA-001,"{type:Point,coordinates:[115.885361,-31.954500]}"
53,BRG-WA-002,Narrows Bridge,Road Bridge,,,WA,Perth Metro,City of South Perth,-31.972778,115.847778,,Main Roads WA,Main Roads WA,Box Girder,1959,,,,160,Prestressed Concrete,5,800,,6,2,2,,Unrestricted,,Zone 1,,,100,false,false,Prestressed concrete box girder over Swan River Narrows. Key Perth CBD link. Major freight route.,Active,Low,,true,,,Level 3,,120000,12,,,true,false,true,true,Main Roads WA,https://www.mainroads.wa.gov.au/roads-infrastructure/roads/narrows-bridge,https://en.wikipedia.org/wiki/Narrows_Bridge_(Perth),BRG-WA-002,"{type:LineString,coordinates:[[115.842,-31.972],[115.853,-31.972]]}"
54,BRG-WA-003,Fremantle Traffic Bridge,Road Bridge,,,WA,Perth Metro,Fremantle,-32.049722,115.748611,,Main Roads WA,Main Roads WA,Truss,1939,,,,100,Steel,3,300,,2,3,3,,Restricted,,Zone 1,,,100,false,true,Heritage steel truss road bridge over Swan River at Fremantle. Load restricted. Bypass bridge now primary route.,Active,Low,,false,,,Not Assessed,,18000,8,,,false,false,false,false,Wikipedia â List of bridges in Australia,https://en.wikipedia.org/wiki/Fremantle_Traffic_Bridge,https://en.wikipedia.org/wiki/List_of_bridges_in_Australia,BRG-WA-003,"{type:Point,coordinates:[115.748611,-32.049722]}"
55,BRG-ACT-001,Kings Avenue Bridge,Road Bridge,,,ACT,Australian Capital Territory,Canberra Central,-35.299722,149.139167,,Transport Canberra and City Services,Transport Canberra and City Services,Arch Bridge,1962,,,,170,Concrete,2,280,,4,2,2,,Unrestricted,,Zone 1,,,100,false,false,Concrete arch bridge over Lake Burley Griffin on Kings Avenue. Key Canberra ceremonial route and freight link.,Active,Low,,true,,,Level 3,,55000,8,,,true,false,true,false,Wikipedia â List of bridges in Australia,https://en.wikipedia.org/wiki/Kings_Avenue_Bridge,https://en.wikipedia.org/wiki/List_of_bridges_in_Australia,BRG-ACT-001,"{type:Point,coordinates:[149.139167,-35.299722]}"
56,BRG-ACT-002,Commonwealth Avenue Bridge,Road Bridge,,,ACT,Australian Capital Territory,Canberra Central,-35.289167,149.128889,,Transport Canberra and City Services,Transport Canberra and City Services,Arch Bridge,1963,,,,220,Concrete,4,400,,6,2,2,,Unrestricted,,Zone 1,,,100,false,false,Concrete arch bridge over Lake Burley Griffin on Commonwealth Avenue. CBD access and freight route.,Active,Low,,true,,,Level 3,,75000,10,,,true,false,true,true,Wikipedia â List of bridges in Australia,https://en.wikipedia.org/wiki/Commonwealth_Avenue_Bridge,https://en.wikipedia.org/wiki/List_of_bridges_in_Australia,BRG-ACT-002,"{type:Point,coordinates:[149.128889,-35.289167]}"
